cycle,poolId,token,swapFeeUSD,swapFeeTokenAmount,joinExitFeeUSD,joinExitFeeTokenAmount,totalUSD,totalToken
1,0x0578292cb20a443ba1cde459c985ce14ca2bdee5000100000000000000000269,ethereum:ethereum:0x616e8bfa43f920657b3497dbf40d6b1a02d4608d,0.0,9.264188614508267,0.0,0.0,0.0,9.264188614508267
1,0x0578292cb20a443ba1cde459c985ce14ca2bdee5000100000000000000000269,ethereum:ethereum:0xba485b556399123261a5f9c95d413b4f93107407,0.0,30.18389610768352,0.0,1425.8028056784556,0.0,1455.986701786139
1,0x0578292cb20a443ba1cde459c985ce14ca2bdee5000100000000000000000269,ethereum:ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.10812631436265971,0.0,0.0,0.0,0.10812631436265971
1,0x06df3b2bbb68adc8b0e302443692037ed9f91b42000000000000000000000063,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,20856.23808988234,20859.188587218334,22.59458427321606,22.599393063387662,20878.832674155554,20881.787980281722
1,0x06df3b2bbb68adc8b0e302443692037ed9f91b42000000000000000000000063,ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,89515.21863357177,89497.9303944316,0.0,0.0,89515.21863357177,89497.9303944316
1,0x06df3b2bbb68adc8b0e302443692037ed9f91b42000000000000000000000063,ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,84201.14545179083,84213.48343623361,10888.851800818029,10899.241445,95089.99725260885,95112.72488123362
1,0x072f14b85add63488ddad88f855fda4a99d6ac9b000200000000000000000027,ethereum:0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,,,4405.514546535262,1474.724957005781,,
1,0x072f14b85add63488ddad88f855fda4a99d6ac9b000200000000000000000027,ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,0.0,0.0,,
1,0x072f14b85add63488ddad88f855fda4a99d6ac9b000200000000000000000027,ethereum:ethereum:0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0.0,61.271408210759176,,,,
1,0x072f14b85add63488ddad88f855fda4a99d6ac9b000200000000000000000027,ethereum:ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,0.13463160666736637,,,,
1,0x0b09dea16768f0799065c475be02919503cb2a3500020000000000000000001a,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,1155.3015200489517,1155.1189100633164,0.0,0.0,1155.3015200489517,1155.1189100633164
1,0x0b09dea16768f0799065c475be02919503cb2a3500020000000000000000001a,ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1079.395122344288,0.7625855898651629,1223.2867326547566,0.8615864471430513,2302.681854999045,1.6241720370082142
